item,skill_tokusyukouka,hosei_per,hosei_value,kougekizi_no_kakuritu_hosei,hanekaesu_kakuritu_hosei,tern_kaisizi_sentou_syuuryouzi,condition,genkaitoppa,rensei
"名もなき大剣","ホイミ",,,,,,,,
"名もなき大剣","かえん斬り",,,,,,,,
"名もなき大剣","メラミ",,,,,,,,
"名もなき大剣","いなずま斬り",,,,,,,,
"名もなき大剣","ひかりの一閃",,,,,,,,
"名もなき大剣","メタル系+3ダメージ",,,,,,,,
"名もなき大剣","戦闘終了時にMPを回復する",,,,,2,,,
"名もなき大剣","攻撃力",,5,,,,,,
"はかいのことわり","こうげき魔力",,5,,,,"【大魔道士】",,
"はかいのことわり","ジバリア属性じゅもんダメージ",10,,,,,,,
"はかいのことわり","ラリホー",,,,,,,,
"はかいのことわり","ベホイミ",,,,,,,,
"はかいのことわり","破壊の瞑想",,,,,,,,
"はかいのことわり","死滅の極光",,,,,,,,
"はかいのことわり","破壊の礼賛",,,,,,,,
"はかいのことわり","ゾンビ系へのダメージ",5,,,,,,,
"はかいのことわり","悪魔系へのダメージ",5,,,,,,,
"はかいのことわり","さいだいMP",,12,,,,"【得】",,
"はかいのことわり","こうげき魔力",,12,,,,"【得】",,
"はかいのことわり","神降ろしの儀",,,,,,,,
"はかいのことわり","偶数の恵み・とくぎ強化",,,,,,,,
"竜の女王のツメ","攻撃力",,5,,,,"【ドラゴン】",,
"竜の女王のツメ","すばやさ",,10,,,,"【ニンジャ】",,
"竜の女王のツメ","愛のひらてうち",,,,,,,,
"竜の女王のツメ","女王の吐息",,,,,,"【闇】",,
"竜の女王のツメ","女王の吐息",,,,,,"【熱】",,
"竜の女王のツメ","ドラゴン系へのダメージ",5,,,,,,,
"竜の女王のツメ","ゾンビ系へのダメージ",5,,,,,,,
"竜の女王のツメ","攻撃力",,12,,,,"【得】",,
"竜の女王のツメ","エナジーフロー",,,,,,,,
"竜の女王のツメ","竜のこころ",,,,,,,,
"世界樹の天杖【刻】","こうげき魔力",,5,,,,"【魔剣士】",,
"世界樹の天杖【刻】","さいだいMP",,5,,,,"【大魔道士】",,
"世界樹の天杖【刻】","イオ属性じゅもんダメージ",10,,,,,,,
"世界樹の天杖【刻】","スカラ",,,,,,,,
"世界樹の天杖【刻】","破魔の閃光",,,,,,,,
"世界樹の天杖【刻】","導きの旋風",,,,,,,,
"世界樹の天杖【刻】","ルミナスレイン",,,,,,,,
"世界樹の天杖【刻】","マシン系へのダメージ",5,,,,,,,
"世界樹の天杖【刻】","物質系へのダメージ",5,,,,,,,
"世界樹の天杖【刻】","さいだいMP",,12,,,,"【得】",,
"世界樹の天杖【刻】","こうげき魔力",,12,,,,"【得】",,
"世界樹の天杖【刻】","モーニンググローリー",,,,,,,,
"世界樹の天杖【刻】","トークトゥナイト",,,,,,,,
"ドランゴの闘斧","ドラゴニックバーストの斬撃・体技・ブレスダメージ",,,,,,"【ドラゴン】",,
"ドランゴの闘斧","影縫いの発動率",,,,,,"【ニンジャ】",,
"ドランゴの闘斧","ブレードガード",,,,,,,,
"ドランゴの闘斧","闘竜の本能",,,,,,,,
"ドランゴの闘斧","大地裂断",,,,,,,,
"ドランゴの闘斧","マキシマムドランゴレイ",,,,,,,,
"ドランゴの闘斧","マシン系へのダメージ",5,,,,,,,
"ドランゴの闘斧","物質系へのダメージ",5,,,,,,,
"ドランゴの闘斧","攻撃力",,12,,,,"【得】",,
"ドランゴの闘斧","闘竜のちから",,,,,,,,
"ドランゴの闘斧","不屈の魂",,,,,,,,
"らいめいのけん","攻撃力",,5,,,,"【バトマス】",,
"らいめいのけん","再燃の闘志",,,,,,,,
"らいめいのけん","メタル裂斬剣",,,,,,,,
"らいめいのけん","神速連撃",,,,,,,,
"らいめいのけん","ジゴスパーク",,,,,,,,
"らいめいのけん","物質系へのダメージ",5,,,,,,,
"らいめいのけん","悪魔系へのダメージ",5,,,,,,,
"らいめいのけん","攻撃力",,12,,,,"【得】",,
"らいめいのけん","最強の剣士の心得",,,,,,,,
"らいめいのけん","オレのエモノだ",,,,,,,,
"テリーの剣","いなずま斬り",,,,,,,,
"テリーの剣","ぶんまわし",,,,,,,,
"テリーの剣","我流ギガソード",,,,,,,,
"テリーの剣","物質系へのダメージ",5,,,,,,,
"テリーの剣","ドラゴン系へのダメージ",3,,,,,,,
"テリーの剣","攻撃力",,5,,,,,,
"テリーの剣","我流ギガソードのダメージ",10,,,,,,,1
"テリーの剣","我流ギガソードのダメージ",10,,,,,,,2
"テリーの剣","我流ギガソードのダメージ",20,,,,,,,3
"テリーの剣","錬成ぶき特別演出解放",,,,,,,,4
"しんぴの水晶","かいふく魔力",,20,,,,,,
"しんぴの水晶","スキルHP回復効果",10,,,,,,,
"しんぴの水晶","キアリク",,,,,,,,
"しんぴの水晶","ザオラル",,,,,,,,
"しんぴの水晶","凶兆のタロット",,,,,,,,
"しんぴの水晶","ラッキータロット",,,,,,,,
"しんぴの水晶","いやしの占術",,,,,,,,
"しんぴの水晶","戦闘終了時にMPを回復する",,,,,10,,,
"しんぴの水晶","いきなりフバーハ",,,,,,,,
"しんぴの水晶","まもりの占い",,,,,,,,
"小悪魔セティアのロッド","攻撃力",,5,,,,"【スパスタ】",,
"小悪魔セティアのロッド","あしばらい",,,,,,,,
"小悪魔セティアのロッド","黄泉送り・ゴス",,,,,,,,
"小悪魔セティアのロッド","小悪魔のキッス",,,,,,,,
"小悪魔セティアのロッド","サキュバスウィンク",,,,,,,,
"小悪魔セティアのロッド","ゾンビ系へのダメージ",5,,,,,,,
"小悪魔セティアのロッド","悪魔系へのダメージ",5,,,,,,,
"小悪魔セティアのロッド","攻撃力",,12,,,,"【得】",,
"小悪魔セティアのロッド","ゴスロリ僧侶の祈り",,,,,,,,
"小悪魔セティアのロッド","かっこいいよ チャッピー！",,,,,,,,
"ブレアの炎槍","攻撃力",,5,,,,"【ゴドハン】",,
"ブレアの炎槍","あしばらい",,,,,,,,
"ブレアの炎槍","じごくのはどう",,,,,,,,
"ブレアの炎槍","煉獄さみだれ突き",,,,,,,,
"ブレアの炎槍","哀・燦々",,,,,,,,
"ブレアの炎槍","ゾンビ系へのダメージ",5,,,,,,,
"ブレアの炎槍","ゾンビ系へのダメージ",5,,,,,,,
"ブレアの炎槍","攻撃力",,12,,,,"【得】",,
"ブレアの炎槍","不滅の怨炎",,,,,,,,
"ブレアの炎槍","かばねの機先",,,,,,,,
"天使の断頭台","攻撃力",,5,,,,"【海賊】",,
"天使の断頭台","さいだいHP",,10,,,,"【パラディン】",,
"天使の断頭台","執行準備",,,,,,,,
"天使の断頭台","ドルマフォース",,,,,,,,
"天使の断頭台","デスサンクション",,,,,,,,
"天使の断頭台","エターナルジャッジメント",,,,,,,,
"天使の断頭台","ゾンビ系へのダメージ",5,,,,,,,
"天使の断頭台","物質系へのダメージ",5,,,,,,,
"天使の断頭台","攻撃力",,12,,,,"【得】",,
"天使の断頭台","執念のドルマフォース",,,,,,,,
"天使の断頭台","仕組まれた運命",,,,,,,,
"はかいのてっきゅう","攻撃力",,20,,,,,,
"はかいのてっきゅう","スキルの斬撃・体技ダメージ",10,,,,,,,
"はかいのてっきゅう","まわしげり",,,,,,,,
"はかいのてっきゅう","ストームフォース",,,,,,,,
"はかいのてっきゅう","破壊の衝動",,,,,,,,
"はかいのてっきゅう","破壊の撃砕",,,,,,,,
"はかいのてっきゅう","ゾンビ系へのダメージ",5,,,,,,,
"はかいのてっきゅう","ゾンビ系へのダメージ",5,,,,,,,
"はかいのてっきゅう","血のたぎり",,,,,,,,
"はかいのてっきゅう","いきなりストームフォース",,,,,,,,
"魔力の宝剣","攻撃力",,5,,,,"【得】",,
"魔力の宝剣","さいだいHP",,10,,,,"【得】",,
"魔力の宝剣","ブレードガード",,,,,,,,
"魔力の宝剣","魔族連携・雷爪",,,,,,,,
"魔力の宝剣","魔族連携・邪風つうこん撃",,,,,,,,
"魔力の宝剣","魔族連携・じごくの魔氷",,,,,,,,
"魔力の宝剣","悪魔系へのダメージ",5,,,,,,,
"魔力の宝剣","スライム系へのダメージ",5,,,,,,,
"魔力の宝剣","攻撃力",,12,,,,"【得】",,
"魔力の宝剣","会心ラッシュ",,,,,,,,
"魔力の宝剣","必中の極意",,,,,,,,
"ゴールデンクレイモア","攻撃力",,5,,,,"【魔剣士】",,
"ゴールデンクレイモア","守備力",,5,,,,"【守り人】",,
"ゴールデンクレイモア","まわしげり",,,,,,,,
"ゴールデンクレイモア","会心必中のかまえ",,,,,,,,
"ゴールデンクレイモア","ゴールデンブレイク",,,,,,,,
"ゴールデンクレイモア","ゴールデンクラッシュ",,,,,,,,
"ゴールデンクレイモア","鳥系へのダメージ",5,,,,,,,
"ゴールデンクレイモア","けもの系へのダメージ",5,,,,,,,
"ゴールデンクレイモア","攻撃力",,12,,,,"【得】",,
"ゴールデンクレイモア","ジバリア属性斬撃・体技ダメージ",,,,,,"【両】",,
"ゴールデンクレイモア","スキルの斬撃ダメージ",,,,,,"【両】",,
"ゴールデンクレイモア","ゴールデンタイム",,,,,,,,
"ゴールデンクレイモア","いきなりまもりのたて",,,,,,,,
"飛天の書","さいだいMP",,5,,,,"【得】",,
"飛天の書","デイン属性じゅもんダメージ",10,,,,,,,
"飛天の書","マヌーサ",,,,,,,,
"飛天の書","光爆の術",,,,,,,,
"飛天の書","ベタドロン",,,,,,,,
"飛天の書","おおぞらの術・雷轟",,,,,,,,
"飛天の書","鳥系へのダメージ",5,,,,,,,
"飛天の書","ゾンビ系へのダメージ",5,,,,,,,
"飛天の書","さいだいMP",,12,,,,"【得】",,
"飛天の書","こうげき魔力",,12,,,,"【得】",,
"飛天の書","人事天命",,,,,,,,
"飛天の書","双翼の英気",,,,,,,,
"えいゆうのやり","攻撃力",,5,,,,"【守り人】",,
"えいゆうのやり","あしばらい",,,,,,,,
"えいゆうのやり","真・やいばくだき",,,,,,,,
"えいゆうのやり","無双連撃",,,,,,,,
"えいゆうのやり","奮起のいやし",,,,,,,,
"えいゆうのやり","ミラクルインパクト",,,,,,,,
"えいゆうのやり","ドラゴン系へのダメージ",5,,,,,,,
"えいゆうのやり","????系へのダメージ",5,,,,,,,
"えいゆうのやり","攻撃力",,12,,,,"【得】",,
"えいゆうのやり","いきなり限界突破",,,,,,,,
"えいゆうのやり","ミラクルブースト",,,,,,,,
"闇竜のキバ","攻撃力",,5,,,,"【ニンジャ】",,
"闇竜のキバ","メタルピアッサー",,,,,,,,
"闇竜のキバ","畏怖の威風",,,,,,,,
"闇竜のキバ","天地崩壊",,,,,,,,
"闇竜のキバ","黒くかがやく翼",,,,,,,,
"闇竜のキバ","物質系へのダメージ",5,,,,,,,
"闇竜のキバ","怪人系へのダメージ",5,,,,,,,
"闇竜のキバ","攻撃力",,12,,,,"【得】",,
"闇竜のキバ","闇竜の咆哮",,,,,,,,
"闇竜のキバ","尽きぬ執念",,,,,,,,
"さばきのこん","すばやさ",,10,,,,"【大神官】",,
"さばきのこん","バギクロス",,,,,,,,
"さばきのこん","シャナク",,,,,,,,
"さばきのこん","キラキラポーン",,,,,,,,
"さばきのこん","バギムーチョ",,,,,,,,
"さばきのこん","天の福音",,,,,,,,
"さばきのこん","戦闘終了時にMPを回復する",,,,,10,,,
"さばきのこん","さいだいHP",,10,,,,"【得】",,
"さばきのこん","かいふく魔力",,12,,,,"【得】",,
"さばきのこん","おねがい天使さま",,,,,,,,
"ぎんがのつるぎ","攻撃力",,5,,,,"【バトマス】",,
"ぎんがのつるぎ","守備力",,5,,,,"【パラディン】",,
"ぎんがのつるぎ","鉄甲斬",,,,,,,,
"ぎんがのつるぎ","超きあいため",,,,,,,,
"ぎんがのつるぎ","メラフォース",,,,,,,,
"ぎんがのつるぎ","天翔はやぶさ斬り",,,,,,,,
"ぎんがのつるぎ","覇王斬",,,,,,,,
"ぎんがのつるぎ","ゾンビ系へのダメージ",5,,,,,,,
"ぎんがのつるぎ","ドラゴン系へのダメージ",5,,,,,,,
"ぎんがのつるぎ","会心率",2,,,,,,,
"ぎんがのつるぎ","攻撃力",,12,,,,"【得】",,
"ぎんがのつるぎ","いきなりメラフォース",,,,,,,,
"ぎんがのつるぎ","世界樹の女神の加護",,,,,,,,
"妖精の円月輪","攻撃力",,5,,,,"【得】",,
"妖精の円月輪","かまいたち",,,,,,,,
"妖精の円月輪","マヌーサ",,,,,,,,
"妖精の円月輪","妖精の秘術",,,,,,,,
"妖精の円月輪","戒風のボレロ",,,,,,,,
"妖精の円月輪","鳥系へのダメージ",5,,,,,,,
"妖精の円月輪","けもの系へのダメージ",5,,,,,,,
"妖精の円月輪","攻撃力",,12,,,,"【得】",,
"妖精の円月輪","いきなりピオリム",,,,,,,,
"大太刀・立葵","攻撃力",,5,,,,"【魔剣士】",,
"大太刀・立葵","ドラゴン斬り",,,,,,,,
"大太刀・立葵","ぶんまわし",,,,,,,,
"大太刀・立葵","斬鉄の風",,,,,,,,
"大太刀・立葵","光刃",,,,,,,,
"大太刀・立葵","ゾンビ系へのダメージ",5,,,,,,,
"大太刀・立葵","ドラゴン系へのダメージ",5,,,,,,,
"大太刀・立葵","攻撃力",,12,,,,"【得】",,
"大太刀・立葵","イオ属性斬撃・体技ダメージ",,,,,,"【両】",,
"大太刀・立葵","スキルの斬撃ダメージ",,,,,,"【両】",,
"大太刀・立葵","勇者の血筋",,,,,,,,
"マグロバスター","マヒャド斬り",,,,,,,,
"マグロバスター","大回転斬り",,,,,,,,
"マグロバスター","水系へのダメージ",10,,,,,,,
"マグロバスター","攻撃時確率で魅了を与える",,,2,,,,,
"マグロバスター","攻撃力",,5,,,,"【得】",,
"みわくのリボン","攻撃力",,5,,,,"【魔法戦士】",,
"みわくのリボン","しばり打ち",,,,,,,,
"みわくのリボン","ぱふぱふ",,,,,,,,
"みわくのリボン","ブラインドショット",,,,,,,,
"みわくのリボン","セクシービーム",,,,,,,,
"みわくのリボン","水系へのダメージ",5,,,,,,,
"みわくのリボン","ドラゴン系へのダメージ",5,,,,,,,
"みわくのリボン","攻撃力",,12,,,,"【得】",,
"みわくのリボン","セクシーダイナマイト",,,,,,,,
"幻魔王のツメ","攻撃力",,5,,,,"【ニンジャ】",,
"幻魔王のツメ","あやしいひとみ",,,,,,,,
"幻魔王のツメ","ごうかいなきりさき",,,,,,,,
"幻魔王のツメ","おぞましいおたけび",,,,,,,,
"幻魔王のツメ","しゃくねつ",,,,,,,,
"幻魔王のツメ","ドラゴン系へのダメージ",5,,,,,,,
"幻魔王のツメ","物質系へのダメージ",5,,,,,,,
"幻魔王のツメ","攻撃力",,12,,,,"【得】",,
"幻魔王のツメ","邪なる封印",,,,,,,,
"カルベロビュート","すばやさ",,10,,,,"【大魔道士】",,
"カルベロビュート","デイン属性じゅもんダメージ",10,,,,,,,
"カルベロビュート","ウィッチウィップ",,,,,,,,
"カルベロビュート","メラマータ",,,,,,,,
"カルベロビュート","マダンテ",,,,,,,,
"カルベロビュート","カルベローナの万雷",,,,,,,,
"カルベロビュート","水系へのダメージ",5,,,,,,,
"カルベロビュート","ドラゴン系へのダメージ",5,,,,,,,
"カルベロビュート","さいだいMP",,12,,,,"【得】",,
"カルベロビュート","戦闘終了時にMPを回復する",,,,,10,,,
"カルベロビュート","大魔女の血を引く少女",,,,,,,,
"エンジェルロッド","さいだいHP",,10,,,,"【大神官】",,
"エンジェルロッド","ザメハ",,,,,,,,
"エンジェルロッド","ムーンサルト",,,,,,,,
"エンジェルロッド","天使のうたごえ",,,,,,,,
"エンジェルロッド","つるぎの演舞",,,,,,,,
"エンジェルロッド","ウルトラハッスルダンス",,,,,,,,
"エンジェルロッド","戦闘終了時にMPを回復する",,,,,10,,,
"エンジェルロッド","さいだいMP",,12,,,,"【得】",,
"エンジェルロッド","かいふく魔力",,12,,,,"【得】",,
"エンジェルロッド","華麗なる舞",,,,,,,,
"ラミアスのつるぎ","攻撃力",,5,,,,"【ゴドハン】",,
"ラミアスのつるぎ","かえん斬り",,,,,,,,
"ラミアスのつるぎ","勇者の証",,,,,,,,
"ラミアスのつるぎ","ビックバンスラッシュ",,,,,,,,
"ラミアスのつるぎ","破幻の剣閃",,,,,,,,
"ラミアスのつるぎ","悪魔系へのダメージ",5,,,,,,,
"ラミアスのつるぎ","鳥系へのダメージ",5,,,,,,,
"ラミアスのつるぎ","攻撃力",,12,,,,"【得】",,
"ラミアスのつるぎ","勇者の覚醒",,,,,,,,
"オーロラの杖","すばやさ",,10,,,,"【大魔道士】",,
"オーロラの杖","ジバリア属性じゅもんダメージ",10,,,,,,,
"オーロラの杖","ヘナトス",,,,,,,,
"オーロラの杖","メダパニーマ",,,,,,,,
"オーロラの杖","ジバマータ",,,,,,,,
"オーロラの杖","ジバルンバ",,,,,,,,
"オーロラの杖","スライム系へのダメージ",5,,,,,,,
"オーロラの杖","スライム系へのダメージ",5,,,,,,,
"オーロラの杖","さいだいMP",,12,,,,"【得】",,
"オーロラの杖","戦闘終了時にMPを回復する",,,,,10,,,
"オーロラの杖","大地の祝福",,,,,,,,
"スラリン・ギア","攻撃力",,5,,,,"【ゴドハン】",,
"スラリン・ギア","かぶとわり",,,,,,,,
"スラリン・ギア","緊急メンテナンス",,,,,,,,
"スラリン・ギア","フリーズストライク",,,,,,,,
"スラリン・ギア","スラキャノン・フルバースト",,,,,,,,
"スラリン・ギア","スライム系へのダメージ",5,,,,,,,
"スラリン・ギア","ゾンビ系へのダメージ",5,,,,,,,
"スラリン・ギア","攻撃力",,12,,,,"【得】",,
"スラリン・ギア","リアクティブガード",,,,,,,,
"げっかびじん","攻撃力",,5,,,,"【ニンジャ】",,
"げっかびじん","まわしげり",,,,,,,,
"げっかびじん","かまいたち",,,,,,,,
"げっかびじん","閃烈はらい撃ち",,,,,,,,
"げっかびじん","アゲハ乱舞",,,,,,,,
"げっかびじん","ゾンビ系へのダメージ",5,,,,,,,
"げっかびじん","ドラゴン系へのダメージ",5,,,,,,,
"げっかびじん","攻撃力",,12,,,,"【得】",,
"げっかびじん","胡蝶の夢",,,,,,,,
"世界樹の氷杖【魔】","こうげき魔力",,5,,,,"【大魔道士】",,
"世界樹の氷杖【魔】","さいだいMP",,5,,,,"【大魔道士】",,
"世界樹の氷杖【魔】","ヒャド属性じゅもんダメージ",10,,,,,,,
"世界樹の氷杖【魔】","マヌーサ",,,,,,,,
"世界樹の氷杖【魔】","黒の魔砲",,,,,,,,
"世界樹の氷杖【魔】","導きの魔閃",,,,,,,,
"世界樹の氷杖【魔】","マヒャドストーム",,,,,,,,
"世界樹の氷杖【魔】","けもの系へのダメージ",5,,,,,,,
"世界樹の氷杖【魔】","物質系へのダメージ",5,,,,,,,
"世界樹の氷杖【魔】","さいだいMP",,12,,,,"【得】",,
"世界樹の氷杖【魔】","こうげき魔力",,12,,,,"【得】",,
"世界樹の氷杖【魔】","不滅の誓約",,,,,,,,
"獄炎の大剣","攻撃力",,5,,,,"【魔剣士】",,
"獄炎の大剣","あしばらい",,,,,,,,
"獄炎の大剣","超きあいため",,,,,,,,
"獄炎の大剣","魔王暗黒剣",,,,,,,,
"獄炎の大剣","煉獄魔炎斬",,,,,,,,
"獄炎の大剣","悪魔系へのダメージ",5,,,,,,,
"獄炎の大剣","物質系へのダメージ",5,,,,,,,
"獄炎の大剣","攻撃力",,12,,,,"【得】",,
"獄炎の大剣","ギラ属性斬撃・体技ダメージ",,,,,,"【両】",,
"獄炎の大剣","スキルの斬撃ダメージ",,,,,,"【両】",,
"獄炎の大剣","魔族の王",,,,,,,,
"魔剣士の片手剣","メタル斬り",,,,,,,,
"魔剣士の片手剣","ぶんまわし",,,,,,,,
"魔剣士の片手剣","魔王炎斬",,,,,,,,
"魔剣士の片手剣","????系へのダメージ",3,,,,,,,
"魔剣士の片手剣","デスピサロへのダメージ",3,,,,,,,
"魔剣士の片手剣","攻撃力",,5,,,,,,
"絶美なる妖鞭","攻撃力",,5,,,,"【ニンジャ】",,
"絶美なる妖鞭","しばり打ち",,,,,,,,
"絶美なる妖鞭","らせん打ち",,,,,,,,
"絶美なる妖鞭","魔性の吐息",,,,,,,,
"絶美なる妖鞭","地這い大蛇",,,,,,,,
"絶美なる妖鞭","怪人系へのダメージ",5,,,,,,,
"絶美なる妖鞭","けもの系へのダメージ",5,,,,,,,
"絶美なる妖鞭","攻撃力",,12,,,,"【得】",,
"絶美なる妖鞭","反魔の妖術",,,,,,,,
"ぷにぷに肉球ロッド","さいだいHP",,10,,,,"【大神官】",,
"ぷにぷに肉球ロッド","ラリホー",,,,,,,,
"ぷにぷに肉球ロッド","キアリク",,,,,,,,
"ぷにぷに肉球ロッド","セラフィエール",,,,,,,,
"ぷにぷに肉球ロッド","バイキルト",,,,,,,,
"ぷにぷに肉球ロッド","チアフルヒール",,,,,,,,
"ぷにぷに肉球ロッド","戦闘終了時にMPを回復する",,,,,10,,,
"ぷにぷに肉球ロッド","さいだいMP",,12,,,,"【得】",,
"ぷにぷに肉球ロッド","かいふく魔力",,12,,,,"【得】",,
"ぷにぷに肉球ロッド","元気のみなもと",,,,,,,,
"KM2式破壊機爪","攻撃力",,5,,,,"【ゴドハン】",,
"KM2式破壊機爪","裂鋼拳",,,,,,,,
"KM2式破壊機爪","プラズマバスター",,,,,,,,
"KM2式破壊機爪","メタルターミネイト",,,,,,,,
"KM2式破壊機爪","凍結処分プログラム",,,,,,,,
"KM2式破壊機爪","マシン系へのダメージ",5,,,,,,,
"KM2式破壊機爪","悪魔系へのダメージ",5,,,,,,,
"KM2式破壊機爪","攻撃力",,12,,,,"【得】",,
"KM2式破壊機爪","急速充填",,,,,,,,
"忍刀・朧","すばやさ",,10,,,,"【ニンジャ】",,
"忍刀・朧","アサシンアタック",,,,,,,,
"忍刀・朧","シャドーステップ",,,,,,,,
"忍刀・朧","鏡火炎舞突き",,,,,,,,
"忍刀・朧","秘剣・霞断ち",,,,,,,,
"忍刀・朧","怪人系へのダメージ",5,,,,,,,
"忍刀・朧","ゾンビ系へのダメージ",5,,,,,,,
"忍刀・朧","攻撃力",,12,,,,"【得】",,
"忍刀・朧","朧影法師",,,,,,,,
"ウロボロスのつえ","さいだいMP",,5,,,,"【大魔道士】",,
"ウロボロスのつえ","メラ属性じゅもんダメージ",5,,,,,,,
"ウロボロスのつえ","ヒャド属性じゅもんダメージ",5,,,,,,,
"ウロボロスのつえ","マヒャド改",,,,,,,,
"ウロボロスのつえ","メラゾーマ",,,,,,,,
"ウロボロスのつえ","メドローア・滅",,,,,,,,
"ウロボロスのつえ","メドローア",,,,,,,,
"ウロボロスのつえ","マシン系へのダメージ",5,,,,,,,
"ウロボロスのつえ","スライム系へのダメージ",5,,,,,,,
"ウロボロスのつえ","さいだいMP",,12,,,,"【得】",,
"ウロボロスのつえ","こうげき魔力",,12,,,,"【得】",,
"ウロボロスのつえ","炎氷の融合",,,,,,,,
"真魔剛竜剣","攻撃力",,5,,,,"【ゴドハン】",,
"真魔剛竜剣","いなずま斬り",,,,,,,,
"真魔剛竜剣","ブレードガード",,,,,,,,
"真魔剛竜剣","闘いの遺伝子",,,,,,,,
"真魔剛竜剣","ドルオーラ",,,,,,,,
"真魔剛竜剣","ギガブレイク",,,,,,,,
"真魔剛竜剣","ドラゴン系へのダメージ",5,,,,,,,
"真魔剛竜剣","????系へのダメージ",5,,,,,,,
"真魔剛竜剣","攻撃力",,12,,,,"【得】",,
"真魔剛竜剣","いきなりきあいため",,,,,,,,
"鎧の魔槍","攻撃力",,5,,,,"【ゴドハン】",,
"鎧の魔槍","あしばらい",,,,,,,,
"鎧の魔槍","シャドーステップ",,,,,,,,
"鎧の魔槍","ブラッディースクライド",,,,,,,,
"鎧の魔槍","虚空閃",,,,,,,,
"鎧の魔槍","グランドクルス",,,,,,,,
