no,kokoro,cost,keitou
97,"ブラウニー",48,"怪人系"
98,"ジャガーメイジ",51,"けもの系"
99,"ハンターフライ",59,"虫系"
100,"デッドペッカー",56,"鳥系"
101,"ケダモン",53,"けもの系"
102,"どれいへいし",53,"ゾンビ系"
103,"メタルハンター",53,"マシン系"
104,"マジカルハット",57,"けもの系"
105,"キラーマシン",77,"マシン系"
106,"イエティ",60,"けもの系"
107,"かえんムカデ",54,"虫系"
108,"マミー",54,"ゾンビ系"
109,"シャドー",62,"エレメント系"
110,"たてまじん",63,"怪人系"
111,"フレイム",75,"エレメント系"
112,"デビルアーマー",62,"物質系"
113,"マドハンド",57,"ゾンビ系"
114,"しびれだんびら",57,"物質系"
115,"ひとつめピエロ",57,"悪魔系"
116,"ベビル",57,"悪魔系"
117,"メタルライダー",62,"スライム系"
118,"ボーンナイト",63,"ゾンビ系"
119,"ヒートギズモ",63,"エレメント系"
120,"リザードマン",68,"ドラゴン系"
121,"ミニデーモン",69,"悪魔系"
122,"ホークブリザード",69,"鳥系"
123,"ハートナイト",62,"スライム系"
124,"ゴールデンコーン",62,"けもの系"
125,"ピンクボンボン",62,"けもの系"
126,"ももいろ三姉妹",62,"スライム系"
127,"クイーンモーモン",62,"悪魔系"
128,"とげこんぼう",32,"怪人系"
129,"アルケミストン",62,"けもの系"
130,"ファイアボール",62,"マシン系"
131,"ばくだん岩",66,"物質系"
132,"あくま神官",62,"悪魔系"
133,"じごくのよろい",75,"物質系"
134,"しりょうのきし",71,"ゾンビ系"
135,"ピンクモーモン",65,"悪魔系"
136,"ベホイミスライム",69,"スライム系"
137,"アームライオン",92,"けもの系"
138,"キラーパンサー",72,"けもの系"
139,"アローインプ",66,"怪人系"
140,"メトロゴースト",66,"ゾンビ系"
141,"つむりんママ",66,"スライム系"
142,"きめんどうし",71,"怪人系"
143,"かっちゅうアリ",72,"虫系"
144,"パペットマン",74,"物質系"
145,"キングスライム",75,"スライム系"
146,"ヒイラギどうじ",69,"植物系"
147,"ドラゴスライム",71,"スライム系"
148,"ベビーサラマンダ",75,"水系"
149,"サブナック",77,"けもの系"
150,"ブラッドハンド",77,"ゾンビ系"
151,"てっこうまじん",93,"物質系"
152,"エビルホーク",81,"鳥系"
153,"まおうのつかい",99,"ゾンビ系"
154,"トロル",24,"悪魔系"
155,"まほうつかい",6,"怪人系"
156,"おおさそり",11,"虫系"
157,"ドロル",15,"ゾンビ系"
158,"てつのさそり",24,"虫系"
159,"リカント",29,"けもの系"
160,"ストーンマン",39,"物質系"
161,"まどうし",20,"怪人系"
162,"ドロルメイジ",33,"ゾンビ系"
163,"リカントマムル",35,"けもの系"
164,"キースドラゴン",38,"ドラゴン系"
165,"しのさそり",41,"虫系"
166,"キラーリカント",44,"けもの系"
167,"だいまどう",47,"怪人系"
168,"ダースドラゴン",50,"ドラゴン系"
169,"あくまのきし",92,"悪魔系"
170,"ドラゴン",32,"ドラゴン系"
171,"ゴーレム",39,"物質系"
172,"りゅうおう",54,"????系"
173,"もみじこぞう",17,"植物系"
174,"ダッシュラン",24,"ドラゴン系"
175,"テラノライナー",39,"ドラゴン系"
176,"ガメゴン",62,"ドラゴン系"
177,"リザードフライ",26,"ドラゴン系"
178,"ドラゴンフライ",41,"ドラゴン系"
179,"スカルゴン",65,"ドラゴン系"
180,"コドラ",27,"ドラゴン系"
181,"はしりとかげ",42,"ドラゴン系"
182,"バトルレックス",68,"ドラゴン系"
183,"デンデン竜",29,"ドラゴン系"
184,"ドラゴンバゲージ",44,"ドラゴン系"
185,"スカイドラゴン",77,"ドラゴン系"
186,"ナウマンボーグ",62,"けもの系"
187,"ギガデーモン",69,"悪魔系"
188,"キングレオ",47,"けもの系"
189,"アンドレアル",69,"ドラゴン系"
190,"デスピサロ",62,"????系"
191,"ヘルバトラー",69,"悪魔系"
193,"究極エビルプリースト",77,"悪魔系"
194,"アイスゴーレム",65,"物質系"
195,"スノードラゴン",68,"ドラゴン系"
196,"ブリザードマン",65,"エレメント系"
197,"スライムかがみもち",17,"スライム系"
198,"おみくじミミック",47,"物質系"
199,"ふくぶくろ",66,"物質系"
200,"メタルドラゴン",69,"マシン系"
201,"メタルホイミン",78,"スライム系"
202,"つかいま",39,"悪魔系"
203,"プリーストナイト",62,"悪魔系"
204,"ずしおうまる",69,"悪魔系"
205,"くものきょじん",69,"悪魔系"
206,"じごくのもんばん",62,"悪魔系"
207,"セルゲイナス",77,"悪魔系"
209,"メイジドラキー",78,"鳥系"
210,"じんめんじゅ",78,"植物系"
211,"じごくのハサミ",80,"水系"
212,"ゴールドオーク",81,"けもの系"
213,"うみぼうず",81,"エレメント系"
214,"ジェリーマン",83,"エレメント系"
215,"さまようたましい",83,"エレメント系"
216,"ベンガルクーン",83,"けもの系"
217,"ベホイムスライム",84,"スライム系"
218,"りゅうき兵",84,"ドラゴン系"
219,"おどるほうせき",84,"物質系"
220,"メイジキメラ",86,"鳥系"
221,"ボーンプリズナー",92,"ゾンビ系"
222,"シールドオーガ",87,"怪人系"
223,"マッドフィンガー",90,"ゾンビ系"
224,"シルバーデビル",87,"悪魔系"
225,"ゲリュオン",99,"けもの系"
226,"おひなさまスライム",62,"スライム系"
227,"きりさきピエロ",78,"怪人系"
228,"さくらこぞう",30,"植物系"
229,"カンダタ",81,"怪人系"
231,"やまたのおろち",80,"ドラゴン系"
232,"バラモス",77,"????系"
233,"バラモスブロス",81,"????系"
234,"ゾーマ",84,"????系"
235,"ブラッドソード",86,"物質系"
236,"おばけトマト",87,"植物系"
237,"フロストギズモ",89,"エレメント系"
238,"マリンスライム",89,"水系"
239,"ミミック",92,"物質系"
240,"ブリザード",90,"エレメント系"
241,"だいおうキッズ",95,"水系"
242,"げんじかぶと",96,"虫系"
243,"ホラービースト",96,"悪魔系"
244,"メーダロード",107,"虫系"
245,"ガーゴイル",98,"鳥系"
246,"しにがみきぞく",92,"ゾンビ系"
247,"ダークスライム",81,"ゾンビ系"
248,"ダークキング",84,"スライム系"
249,"ベスキング",81,"スライム系"
250,"スカラベキング",99,"虫系"
251,"セキバーン",69,"水系"
252,"スナノサウルス",84,"けもの系"
253,"ヘルコンドル",81,"鳥系"
254,"ギガンテス",84,"悪魔系"
255,"まなつのせんし",81,"エレメント系"
257,"トロピカルドラゴ",87,"植物系"
258,"フレイムドック",81,"けもの系"
260,"キングスイカ岩",84,"植物系"
261,"ドラゴンキッズ",54,"ドラゴン系"
262,"りゅうせんし",77,"ドラゴン系"
263,"ドラゴンゾンビ",84,"ドラゴン系"
264,"ドラゴンガイア",87,"ドラゴン系"
265,"ヘルジュラシック",84,"ドラゴン系"
266,"ヘルゴースト",93,"ゾンビ系"
267,"アイアンクック",95,"マシン系"
268,"メガザルロック",96,"物質系"
269,"キラートーチ",98,"物質系"
270,"アカイライ",99,"鳥系"
271,"ホロゴースト",99,"エレメント系"
272,"ボボンガー",99,"ドラゴン系"
273,"デンタザウルス",104,"けもの系"
274,"ほのおのせんし",102,"エレメント系"
275,"うごくせきぞう",119,"物質系"
276,"エリミネーター",105,"怪人系"
277,"じごくのつかい",104,"悪魔系"
278,"ワイトキング",122,"ゾンビ系"
279,"ＭＣカンダタ",47,"怪人系"
281,"記念大王スライム",10,"スライム系"
282,"ウイングタイガー",92,"けもの系"
283,"ブラックドラゴン",93,"ドラゴン系"
284,"ボストロール",90,"悪魔系"
285,"暴嵐天バリゲーン",99,"????系"
286,"キマイラロード",92,"けもの系"
287,"ハロウィンドラキー",39,"鳥系"
288,"パンプキャビネット",92,"物質系"
289,"ハロウィンゴースト",39,"ゾンビ系"
290,"シャドーサタン",93,"悪魔系"
291,"ハロウィンマミー",39,"ゾンビ系"
292,"ハロウィンリカント",42,"けもの系"
293,"フランケンゴーレム",92,"ゾンビ系"
296,"しろバラのきし",92,"悪魔系"
297,"モテモテ",92,"けもの系"
298,"ちょうろうじゅ",92,"植物系"
299,"リトルライバーン",92,"ドラゴン系"
300,"レッドアーチャー",92,"怪人系"
301,"バロン版キラーマシン",93,"マシン系"
302,"アバン（ドラゴラム）",95,"ドラゴン系"
303,"魔王ハドラー",93,"????系"
304,"クロコダイン",92,"けもの系"
306,"ヒュンケル",89,"????系"
307,"カメレオンマン",84,"怪人系"
308,"フレイザード",99,"物質系"
310,"賀正大王スライム",21,"スライム系"
311,"ドラゴメタル",101,"スライム系"
312,"つららスライム",39,"スライム系"
313,"ひょうがまじん",96,"物質系"
314,"うごくひょうぞう",98,"物質系"
315,"コキュードス",78,"ドラゴン系"
316,"アンクルホーン",95,"悪魔系"
317,"ぬすっとウサギ",101,"けもの系"
318,"ホタテワラビー",101,"けもの系"
319,"グリゴンダンス",102,"悪魔系"
320,"グール",105,"ゾンビ系"
321,"ナイトキャット",107,"けもの系"
322,"ランプのまじん",107,"悪魔系"
323,"亡者のひとだま",114,"エレメント系"
324,"ウドラー",92,"植物系"
325,"キラーアーマー",111,"物質系"
326,"バアルゼブブ",113,"悪魔系"
327,"ボーンファイター",126,"ゾンビ系"
328,"モヒカント",129,"けもの系"
329,"バッファロン",129,"けもの系"
330,"ガルーダ",92,"鳥系"
331,"だいおうイカ",102,"水系"
332,"タコメット",47,"水系"
333,"ガニラス",99,"水系"
334,"マリンバブル",66,"スライム系"
335,"グレイトマーマン",102,"水系"
336,"パイレーツプリズナー",62,"ゾンビ系"
337,"ヘルギフト",74,"物質系"
338,"ナイトリッチ",102,"ゾンビ系"
339,"からくり兵",36,"マシン系"
340,"デスマシーン",101,"マシン系"
344,"ヘルバオム",102,"植物系"
346,"ヘルクラウダー",102,"エレメント系"
347,"メカバーン",107,"マシン系"
348,"オルゴ・デミーラ",104,"????系"
349,"オルゴ・デミーラ（第２形態）",107,"????系"
351,"メガゴールドマン",66,"物質系"
352,"ヒョウモンダーク",108,"水系"
353,"おにこぞう",108,"怪人系"
354,"ブラックチャック",110,"怪人系"
355,"ブラッドマミー",110,"ゾンビ系"
356,"マポレーナ",111,"悪魔系"
357,"マッドルーパー",113,"水系"
358,"ブランマトック",114,"けもの系"
359,"アークデーモン",114,"悪魔系"
360,"シュプリンガー",119,"ドラゴン系"
361,"エビルソーサラー",126,"悪魔系"
363,"サイレス",128,"鳥系"
364,"碧落天バリゲーン",99,"????系"
371,"スターキメラ",107,"鳥系"
372,"竜王",107,"????系"
373,"アックスドラゴン",99,"ドラゴン系"
374,"アトラス",108,"悪魔系"
375,"バズズ",84,"悪魔系"
376,"ベリアル",111,"悪魔系"
377,"大神官ハーゴン",111,"????系"
379,"破壊神シドー",113,"????系"
382,"イズライール",114,"悪魔系"
383,"バンユウ",110,"怪人系"
384,"ズッキーニャ",47,"植物系"
388,"おにこんぼう",111,"悪魔系"
389,"ぶっちズキーニャ",47,"植物系"
390,"グリーンドラゴン",107,"ドラゴン系"
394,"ジャンボきづち",107,"怪人系"
395,"オオヌシガルーダ",111,"鳥系"
396,"バズールカンダタ",47,"怪人系"
397,"ゆきのじょおう",114,"エレメント系"
398,"グレイトドラゴン",116,"ドラゴン系"
399,"ジャミ",101,"けもの系"
400,"ゴンズ",116,"けもの系"
401,"ようがんげんじん",114,"エレメント系"
402,"ゲマ",119,"ゾンビ系"
403,"イブール",92,"悪魔系"
404,"ミルドラース",122,"????系"
406,"テラノザース",116,"ドラゴン系"
407,"タップペンギー",116,"水系"
408,"メタルつむり",116,"スライム系"
409,"スライムブレス",117,"スライム系"
410,"ダークシルフ",117,"植物系"
411,"マジックフライ",120,"虫系"
412,"はくろうじゅ",120,"植物系"
413,"じごくのたまねぎ",122,"植物系"
414,"ダークキャンドル",122,"物質系"
415,"ダークペルシャ",125,"けもの系"
416,"ベレス",129,"悪魔系"
417,"キラージャック",123,"怪人系"
418,"マジックアーマー",140,"物質系"
420,"スノーエルダー",141,"ドラゴン系"
422,"グレイトライドン",114,"ゾンビ系"
425,"わたぼう",99,"????系"
426,"ローズバトラー",116,"植物系"
427,"にじくじゃく",117,"鳥系"
428,"わるぼう",92,"????系"
429,"じげんりゅう",120,"ドラゴン系"
430,"スライムボーグ",116,"スライム系"
431,"とらおとこ",35,"怪人系"
432,"サンライズスライム",122,"スライム系"
433,"ゴールデンゴーレム",122,"物質系"
434,"アイスフライ",95,"ドラゴン系"
435,"ドラゴンライダー",119,"ドラゴン系"
436,"ホワイトパンサー",69,"けもの系"
437,"ひょうけつのきし",114,"悪魔系"
438,"豪氷天グリザード",122,"????系"
439,"ごうけつぐま",122,"けもの系"
440,"じごくのきし",128,"ゾンビ系"
441,"バラモスゾンビ",107,"ゾンビ系"
442,"キングヒドラ",123,"ドラゴン系"
443,"クイーンスライム",114,"スライム系"
444,"あくまのツボ",137,"物質系"
445,"タイムマスター",120,"悪魔系"
446,"バリクナジャ",120,"悪魔系"
447,"さくらボンボン",39,"けもの系"
448,"ギガントドラゴン",129,"ドラゴン系"
449,"おおがらす",123,"鳥系"
450,"メーダクイン",128,"虫系"
451,"ましょうぐも",125,"エレメント系"
452,"キラークラブ",129,"水系"
453,"ハヌマーン",144,"けもの系"
455,"トロルキング",129,"悪魔系"
457,"ゆうれいせんちょう",123,"ゾンビ系"
458,"ゆうれい船",125,"ゾンビ系"
463,"テンタクルス",122,"水系"
464,"ムーンキメラ",122,"鳥系"
465,"マッドスミス",122,"ゾンビ系"
466,"じごくのドアボーイ",122,"怪人系"
467,"ピンキーパンサー",122,"けもの系"
468,"はめつの使者",41,"悪魔系"
469,"闇の覇者りゅうおう",125,"????系"
470,"なげきの亡霊",125,"ゾンビ系"
471,"ドルマゲス",128,"????系"
472,"ドルマゲス（第２形態）",128,"????系"
473,"呪われしゼシカ",126,"????系"
474,"妖魔ゲモン",119,"鳥系"
475,"ラプソーン",129,"????系"
476,"ユニコーン",129,"けもの系"
477,"まじょのかげ",62,"エレメント系"
478,"グレイツェル",128,"悪魔系"
479,"キングリザード",128,"ドラゴン系"
480,"魔勇者アンルシア",129,"????系"
482,"冥王ネルゲル",131,"????系"
485,"冥獣王ネルゲル",129,"????系"
486,"かんだたん",24,"怪人系"
488,"スロットマジーン",96,"マシン系"
489,"マッスルガード",131,"悪魔系"
490,"ゴールデンタイタス",132,"悪魔系"
491,"欲望の魔人",122,"物質系"
492,"灼爍天ブレア",137,"????系"
493,"エビルプリースト",132,"悪魔系"
494,"ミズデーモン",77,"悪魔系"
495,"エナジーバブル",77,"スライム系"
496,"コーヒーライオン",77,"けもの系"
497,"デスアンドレアル",132,"ドラゴン系"
498,"究極進化エビルプリースト",129,"悪魔系"
499,"ブルデビル",131,"悪魔系"
500,"ラーハルト",132,"ドラゴン系"
501,"ＣｏｋｅＯＮコラボ大王",59,"スライム系"
502,"竜騎将バラン",132,"????系"
503,"竜魔人バラン",134,"????系"
504,"ミストバーン",129,"????系"
505,"カジノ大王スライム",77,"スライム系"
506,"ナスビナーラ",77,"植物系"
508,"ブラバニクイーン",135,"けもの系"
510,"スライムジェネラル",137,"スライム系"
511,"ドラティー",77,"鳥系"
512,"お茶コッコ",77,"マシン系"
513,"あくあ神官",77,"悪魔系"
514,"つちわらし",84,"怪人系"
515,"ベロベロ",132,"怪人系"
516,"おににゅうどう",134,"悪魔系"
517,"怪蟲アラグネ",135,"虫系"
518,"デビルスノー",131,"エレメント系"
519,"岩とびあくま",131,"水系"
520,"メタルエンゼル",131,"スライム系"
521,"ドルマージュ",132,"エレメント系"
522,"ようがんまじん",132,"エレメント系"
523,"オークィーン",134,"けもの系"
524,"くもの大王",134,"エレメント系"
525,"ディアブラダ",135,"悪魔系"
526,"ブルサベージ",135,"悪魔系"
527,"ポンコツ兵",137,"マシン系"
528,"スーパーテンツク",137,"虫系"
529,"とこよアゲハ",144,"虫系"
532,"ネクロバルサ",149,"怪人系"
534,"キラーマシン２",152,"マシン系"
535,"妖魔ジュリアンテ",135,"怪人系"
536,"キラーファング",134,"けもの系"
537,"呪術師マリーン",137,"怪人系"
538,"月夜の将",135,"ゾンビ系"
539,"血染めの魔剣",144,"物質系"
540,"ヘルシーサー",137,"けもの系"
543,"マスタードラゴン邪",128,"????系"
545,"キャプテン・クロウ",144,"ゾンビ系"
546,"ゴールデンドラゴン",138,"ドラゴン系"
547,"てっきゅうまじん",140,"悪魔系"
548,"勇車スラリンガル",143,"スライム系"
549,"だいまじん",135,"物質系"
550,"テンツク",92,"虫系"
551,"ブラディーポ",141,"悪魔系"
552,"ムドー",141,"????系"
553,"ジャミラス",114,"鳥系"
554,"グラコス",140,"水系"
555,"デュラン",143,"悪魔系"
556,"アクバー",143,"悪魔系"
557,"大魔王デスタムーア",144,"????系"
558,"魔王デスタムーア",134,"????系"
560,"わかめ王子",147,"水系"
561,"闇の覇者　竜王",159,"????系"
562,"ガメゴンロード",144,"ドラゴン系"
563,"クラーゴン",147,"水系"
564,"水竜ギルギッシュ",143,"ドラゴン系"
565,"ももんじゃ",138,"けもの系"
566,"クリスタルハンド",138,"ゾンビ系"
567,"かげのきし",140,"ゾンビ系"
568,"あらくれチャッピー",141,"けもの系"
569,"スモールグール",143,"怪人系"
570,"イーグルデビル",143,"鳥系"
571,"アッシュリザード",144,"ドラゴン系"
572,"サイクロプス",144,"悪魔系"
574,"ヴァルハラー",152,"ゾンビ系"
577,"カンダタショーマン",68,"怪人系"
578,"なぞの黒騎士",144,"ゾンビ系"
579,"黒竜丸",144,"けもの系"
580,"ぬしさま",144,"水系"
581,"魔教師エルシオン",90,"怪人系"
582,"ゲルニック将軍",117,"鳥系"
583,"ゴレオン将軍",129,"けもの系"
584,"闇竜バルボロス",137,"ドラゴン系"
585,"ギュメイ将軍",144,"けもの系"
586,"堕天使エルギオス",144,"????系"
587,"ブラッドナイト",147,"ゾンビ系"
588,"イデアラゴン",147,"ドラゴン系"
589,"邪眼皇帝アウルート",144,"鳥系"
590,"怪力軍曹イボイノス",144,"けもの系"
591,"魔剣神レパルド",144,"けもの系"
592,"暗黒の使い",144,"ゾンビ系"
593,"はれおとこ",120,"エレメント系"
594,"あめおとこ",120,"エレメント系"
595,"レッドオーガ",155,"けもの系"
596,"ブルファング",155,"けもの系"
597,"レッドパンサー",86,"けもの系"
598,"グレープマーマン",86,"水系"
599,"カフェまじん",86,"怪人系"
600,"レティス",149,"????系"
601,"れんごくまちょう",150,"鳥系"
602,"さそりアーマー",146,"虫系"
604,"ゴールデンスライム",150,"スライム系"
606,"心眼たぬき",150,"けもの系"
608,"魔王オムド・レクス",150,"????系"
611,"トマホーガー",150,"ドラゴン系"
613,"暗黒皇帝ガナサダイ",150,"ゾンビ系"
614,"あくまの書",114,"物質系"
615,"おばけキノコ",146,"植物系"
616,"ピクシー",147,"悪魔系"
617,"パンドラボックス",147,"物質系"
618,"エルダーフレイム",149,"エレメント系"
619,"メランザーナ",150,"植物系"
620,"ガニメデス",150,"悪魔系"
621,"こうていタップ",152,"水系"
622,"ガーディアン",152,"ドラゴン系"
626,"ウィングデビル",152,"悪魔系"
628,"たんすミミック",149,"物質系"
629,"バルザックビースト",119,"けもの系"
630,"闇を纏う剣士",147,"????系"
631,"いどまじん",146,"物質系"
632,"ギガパレス",140,"物質系"
633,"マッスルアニマル",122,"けもの系"
639,"キラーマジンガ",165,"マシン系"
640,"オーシャンボーン",150,"水系"
641,"大怪像ガドンゴ",150,"けもの系"
642,"とろろ将軍",100,"水系"
643,"あらくれパンダ",100,"けもの系"
644,"もじゃらきラクーン",100,"けもの系"
645,"あやシイタケ",100,"植物系"
646,"マンドリル",149,"けもの系"
647,"ハーゴンのきし",137,"ゾンビ系"
648,"きとうし",152,"悪魔系"
649,"邪神官ハーゴン",174,"????系"
650,"げんじゅつし",152,"エレメント系"
651,"マタンゴ",144,"植物系"
652,"マーマン",144,"水系"
653,"梅雨大王スライム",11,"スライム系"
654,"ラーミア",153,"鳥系"
655,"ライオンヘッド",149,"けもの系"
656,"エビルマージ",149,"怪人系"
657,"ソードイド",144,"ゾンビ系"
658,"魔王バラモス",174,"????系"
9001,"ハロウィンルイーダ",66,
9002,"アバン",87,
9003,"記念大王スライム１．５",15,"スライム系"
9004,"エデンの戦士たち１",84,
9005,"エデンの戦士たち２",84,
9006,"ベビースライム",17,"スライム系"
9007,"ロトの子孫",99,
9008,"トロピカルアミーゴ",110,"植物系"
9009,"キラーマシン（覚醒）",96,"マシン系"
9010,"パパス",99,
9011,"記念大王スライム２．０",20,"スライム系"
9012,"ビアンカ",99,
9013,"フローラ",99,
9014,"デボラ",99,
9015,"キングスライム（覚醒）",102,"スライム系"
9016,"あくま神官（覚醒）",95,"悪魔系"
9017,"アームライオン（覚醒）",111,"けもの系"
9018,"ギガントドラゴン（覚醒）",129,"ドラゴン系"
9019,"記念大王スライム２．５",25,"スライム系"
9020,"スライムヒーローズ",125,"スライム系"
9021,"エイトとヤンガス",107,
9022,"ゼシカとククール",107,
9023,"暗黒神ラプソーン",129,"????系"
9024,"ボーンナイト（覚醒）",117,"ゾンビ系"
9025,"ヒイラギどうじ（覚醒）",123,"植物系"
9026,"勇者姫アンルシア",116,
9027,"魔兵タナト＆ヒプノス",122,"悪魔系"
9028,"記念大王スライム３．０",30,"スライム系"
9029,"欲望の魔人（覚醒）",122,"物質系"
9030,"クリフト",122,
9031,"ポップ",122,
9032,"ダイ",131,
9033,"クロコダイン（覚醒）",122,"けもの系"
9034,"ヒュンケル（覚醒）",122,"????系"
9035,"賀正大王スライム’２１",21,"スライム系"
9036,"賀正大王スライム’２２",22,"スライム系"
9037,"賀正大王スライム’２３",23,"スライム系"
9038,"セラフィ",132,
9039,"ピサロ",144,"????系"
9040,"ピサロ（赤）",144,"????系"
9041,"ピサロ（緑）",144,"????系"
9042,"記念大王スライム３．５",35,"スライム系"
9043,"よろいのきし（覚醒）",122,"悪魔系"
9044,"マスタードラゴン邪（覚醒）",128,"????系"
9045,"レックとハッサン",140,
9046,"レックとハッサン（黄）",140,
9047,"レックとハッサン（赤）",140,
9048,"ミレーユとバーバラ",137,
9049,"ミレーユとバーバラ（緑）",137,
9050,"ミレーユとバーバラ（紫）",137,
9051,"エビルホーク（覚醒）",129,"鳥系"
9052,"幻魔王デスタムーア",134,"????系"
9053,"おどるほうせき（覚醒）",123,"物質系"
9054,"ホラービースト（覚醒）",122,"悪魔系"
9055,"スライムヒーローズ（覚醒）",140,"スライム系"
9056,"ドランゴ",144,"ドラゴン系"
9057,"闇の覇者　竜王（青）",159,"????系"
9058,"闇の覇者　竜王（紫）",159,"????系"
9059,"記念大王スライム４．０",40,"スライム系"
9060,"リッカ",134,
9061,"イザヤール",144,
9062,"ドラゴン（覚醒）",77,"ドラゴン系"
9063,"ゴーレム（覚醒）",77,"物質系"
9064,"ナウマンボーグ（覚醒）",107,"けもの系"
9065,"メタルドラゴン（覚醒）",107,"マシン系"
9066,"ギガンテス（覚醒）",107,"悪魔系"
9067,"ブラックドラゴン（覚醒）",137,"ドラゴン系"
9068,"アンクルホーン（覚醒）",137,"悪魔系"
9069,"おにこんぼう（覚醒）",137,"悪魔系"
9070,"グレイトドラゴン（覚醒）",137,"ドラゴン系"
9071,"キングヒドラ（覚醒）",138,"ドラゴン系"
9072,"グレイツェル（覚醒）",143,"悪魔系"
9073,"マッスルガード（覚醒）",146,"悪魔系"
9074,"スカイドル",87,"ドラゴン系"
9075,"ダバット",95,"鳥系"
9076,"コアトル",150,"ドラゴン系"
9077,"ハイドーラ",102,"ドラゴン系"
9078,"パワード",108,"けもの系"
9079,"ヘルゴラゴ",150,"けもの系"
9080,"ピエトロ",102,"スライム系"
9081,"メガトン",117,"悪魔系"
9082,"ピサロナイト",134,"悪魔系"
9083,"モノアイ",120,"悪魔系"
9084,"ディーゼル",125,"マシン系"
9085,"オムド・ロレス",140,"????系"
9086,"セティア",122,
9087,"記念大王スライム４．５",45,"スライム系"
9088,"ランプのまじん（覚醒）",141,"悪魔系"
9089,"血染めの魔剣（覚醒）",155,"物質系"
9090,"ギガパレス（覚醒）",140,"物質系"
9091,"乗馬ブラザーズ",41,"ゾンビ系"
9092,"アリアハンの勇者",116,
